file_name,component_count,total_instances
LPO-PDP-Tests,1,0
Sales banner redesign,1,0
Shapes,1,0
QPE - Evaluation based on text attributes,1,0
ZA Browse and Search,1,0
TEST - Swap font family,1,0
Brand refresh - Product Stage 1,1,0
File not visible,1,0
Sports | Jersey customisation,1,0
Sales Refresh 2025,1,0
Promise Contextualisaiton - ZIP code precision,1,0
In-App Message (IAM),1,0
Zalando Assistant elevated experience,1,0
Content Cards,1,0
ARCHIVE Zalando Assistant elevated experience,1,0
Mix&Match - Explorations - Foundational experience + upselling,1,0
SDD Exploration,1,0
8_VFR (Virtual Fitting Room),1,0
10_Bracketing design,1,0
SDD review updates - Gerrit / Patrycja,1,0
Exploration: Dark mode,1,0
Light_Branding_Freelancer_2025-04,1,0
Storytelling M0 - Early Explorations,1,0
Mix&Match - Main File - Foundational experience + upselling,1,0
11_Return reduction,1,0
🎨 Home Feed ('25) Launch -> Cyber,1,0
QPE - Discovery (Forward motion),1,0
Loyalty Program V2 - Fast Follow Markets,1,0
6_PDP,1,0
[Archive] 🎨 Home Feed ('25),1,0
9_Fit First,1,0
Lifecycle Explorations,1,0
Adaptive M2 - PDP,1,0
QPE/LPO Recommendations bridge,1,0
Omnibus - Reviews Blackjack,1,0
Bin - PISA - Product Information for Self-Assessment,1,0
Type cleanup,1,0
Project Omnibus - Reviews (Archive),1,0
Beauty personalisation - Baseline File,1,0
Sharing in Wardrobe - Solution Design,1,0
ASO Concept Exploration 2025,1,0
Co-badged Cards Scheme - Design Playground,1,0
Header redesign,1,0
TDE Adjacency - Baseline File,1,0
Checkout success page,1,0
Personal Shopping Benefit x Plus,1,0
2_Your sizes,1,0
test,1,0
QPE - Evaluation based on media,1,0
Rating & Reviews - Baseline File,1,0
Designer Theme Explorations (Copy),1,0
Order Cutoffs,1,0
Brand Profile (Social Profile),1,0
Proof-of-Concepts [ZMS project vision - Leandro],1,0
Video Stream MLP - Specs,1,0
TDE - Baseline File,1,0
CLM initiative,1,0
"Tabs, navigations",1,0
Plus Missions for Propositions - Baseline File,1,0
Partner Day '25 - Storyboard (Copy),1,0
Partner Day '25 - Storyboard,1,0
ZDS Next explorations,1,0
Boards CX / Creation,1,0
TDE - Motion explorations and specs,1,0
Focus Outline (ZDS Components),1,0
TDE - Specs,1,0
Beauty Colour Picker,1,0
CONFIG Explorations,1,0
Omnibus Directive | Explorations,1,0
Storytelling - Storyblocks Brainstorming,1,0
Digital Sports Dialogs,1,0
Cyber Week CX 2025,1,0
ZFA Design Playground,1,0
Improving Priority Access: Phase 1 Proposition Awareness,1,0
Exploration / Fast and For Me,1,0
TDE - Playground 1,1,0
LPO-Catalog-Tests,1,0
Sustainability Mission [ Loyalty ],1,0
ZDS - Moments exploration (Copy),1,0
Design - PISA - Product Information for Self-Assessment,1,0
Specs - Size Advice with Body Measurement,1,0
TDE - Specs (Copy),1,0
Perfect Pairing,1,0
Rebrand Personal Shopping,1,0
12_Diffusion Model,1,0
[MASTER FILE] Purchase Web,1,0
Archive - Trend Spotter,1,0
TDE - Playground 3,1,0
Colours,1,0
[Archived on 17.05.2023] Plus Rebranding Design Explorations,1,0
Tooling Vision,1,0
iOS 26 implications,1,0
Creative check-in identity documentation,1,0
SCM1 legal response,1,0
Trinity CX,1,0
Marketing Services | Min-Yu | Home Feed Ads parity,1,0
⌨️ Accessibility: Full Keyboard Access (for Apps),1,0
Pricing annotation,1,0
ZDS starter file: tiles,1,0
Dark mode for PDP tiles,1,0
SC M1 – Design Review💚,1,0
🚀 [FEATURE] Vertical & Horizontla Product card,1,0
CCD 2.0 Consumer Credit Directive - Design Space,1,0
Propositions Steering from Checkout Success Page (M1 & M2),1,0
FitGAN,1,0
Core Journey CX,1,0
Guideline refinement: inner padding,1,0
PDP | Incentive banner specs,1,0
"PDP | Delivery, USP & Partner info Specs",1,0
Typography_Brand Refresh_Sprint_Sept2024,1,0
Plus Rebranding Design Explorations,1,0
Sephora Partner Integration - Baseline File,1,0
Content Design X Brand Refresh,1,0
GC Xmas,1,0
PDP | Product image gallery specs,1,0
PDP | Size picker specs,1,0
Rituals / Weekly Design Reviews (2025),1,0
Plus Loyalty Assets - Updates,1,0
QPE 2025 CX vision archive,1,0
Product Card l Cart Web,1,0
Archive,1,0
Grid experimentation,1,0
[A11y] Product Card Annotations,1,0
Premises - Loyalty V1,1,0
ESPIxZalando,1,0
Reviews - Project Omnibus,1,0
Sephora Configuration & Content - Baseline File,1,0
Recommended size filter,1,0
AI Content Generation,1,0
Product Content 2.X,1,0
Zalando Live - M1,1,0
Durability Experience,1,0
Search - investigation,1,0
TDE Wayfinding - Baseline File,1,0
🛝🐘 [PLAYGROUND] Elephant Feed - MLP (Video),1,0
Wanderlust - Customer Journeys,1,0
🚀 Add new variant of radio button - checkout,1,0
"Payments for Order Bundling — Design Playground, 07.2023",1,0
Team Sprint_Brand Refresh_Nov2024,1,0
Returns Transformation,1,0
ZA Entry Points,1,0
Beauty PDP – Glanceable Highlights,1,0
Specs - Size Advice with Body Measurement (Copy),1,0
[WIP] Keylines,1,0
Topic Exploration (Copy),1,0
🚀 Add payment logos,1,0
Trend Spotter: Trend Led Experience,1,0
🚀[FEATURE] Add Shoppable product card Documentation,1,0
"Creator Ecosystem - Explorations, Reviews",1,0
Back in Stock - Early Access - Plus,1,0
Grebban Presentation and Final delivery,1,0
Profile / Solution Design,1,0
Archive - VFR exploration,1,0
What's next,1,0
AI Boards,1,0
Sephora - Specs,1,0
Plus Booster,1,0
🚀[FEATURE] Add CPC Tile,1,0
🚀[FEATURE] Add nudge payment,1,0
🚀[FEATURE] Update PDP pricing,1,0
Beauty Profile - M1,1,0
TDE - Explorations & Benchmarks,1,0
[Zalon Archive] User Side - Personal Shopping Benefit x Plus,1,0
🚀[FEATURE] Catalogue | Update Product card  (Omnibus),1,0
🚀[FEATURE] Popular collection carousel,1,0
Zalando Livestream Platform (Product Iterations),1,0
SC M1 – Execution 👷‍♂️,1,0
Project Knight,1,0
frog_Zalando_Design_System_tiles,1,0
🚀[FEATURE] Update product price,1,0
App Fluidity,1,0
Exploration / 1st tab on app (Copy),1,0
App Takeover,1,0
PDP customer journey optimisation for conversion,1,0
[MASTER FILE] Orders & Returns,1,0
Beauty PDP – Discovery + M1,1,0
Project Omnibus - Pricing,1,0
ZDS library: tiles,1,0
🛝🪩 Discovery Feed - Design Playground,1,0
Boards CX / Specs,1,0
[Pizza Box] Tracking Improvement,1,0
Semantic colour,1,0
Accessibility Path based gestures,1,0
ZDS NEXT guidelines,1,0
Testzzzzz draft,1,0
[MASTER FILE] Gift Cards,1,0
"PayPal Mandates — Design Playground, 11.2025",1,0
2nd tab: F&LD,1,0
[Copy] PDP - Baseline File (2023),1,0
PDP - Baseline File / Master file,1,0
Product card documentation,1,0
[ARCHIVE] Rituals / Weekly Design Reviews (2024),1,0
Labelless Returns,1,0
Working File_Advertising,1,0
Returns,1,0
Project HEBE + Pillar 1 contribution,1,0
