file_name,component_count,total_instances
CLM initiative,1,0
File not visible,1,0
Loyalty Program V2 - Fast Follow Markets,1,0
Shapes,1,0
Promise Contextualisaiton - ZIP code precision,1,0
Returns Transformation,1,0
[Pizza Box] Tracking Improvement,1,0
8_VFR (Virtual Fitting Room),1,0
10_Bracketing design,1,0
9_Fit First,1,0
Sports | Jersey customisation,1,0
Beauty Profile - Check in,1,0
Rating & Reviews - Baseline File,1,0
Sales banner redesign,1,0
LPO-PDP-Tests,1,0
TEST - Swap font family,1,0
Brand refresh - Product Stage 1,1,0
Beauty Colour Picker,1,0
Header redesign,1,0
[Archived on 17.05.2023] Plus Rebranding Design Explorations,1,0
Designer Theme Explorations (Copy),1,0
6_PDP,1,0
Omnibus Directive | Explorations,1,0
Boards CX / Specs,1,0
Beauty personalisation - Baseline File,1,0
Plus Rebranding Design Explorations,1,0
[Zalon Archive] User Side - Personal Shopping Benefit x Plus,1,0
QPE - Evaluation based on text attributes,1,0
11_Return reduction,1,0
TDE - Explorations & Benchmarks,1,0
Premises - Loyalty V1,1,0
Beauty replenishment - Archived files,1,0
Labelless Returns,1,0
Immediate Reimbursement,1,0
CX / Maturity,1,0
Design Playground - Wardrobe + Zircle (2020-21),1,0
Lifecycle Explorations,1,0
P&F - Personalized Pricing (WIP),1,0
Content Cards,1,0
Zalando Assistant elevated experience,1,0
2_Your sizes,1,0
SC M1 – Design Review💚,1,0
CX / Talent Profile,1,0
Video Stream MLP - Specs,1,0
"Payments for Order Bundling — Design Playground, 07.2023",1,0
Boards CX / Creation,1,0
TDE - Motion explorations and specs,1,0
[MASTER FILE] Orders & Returns,1,0
[MASTER FILE] Purchase Web,1,0
ZA Browse and Search,1,0
TDE - Baseline File,1,0
TDE - Playground 1,1,0
Project Knight,1,0
🛝🐘 [PLAYGROUND] Elephant Feed - MLP (Video),1,0
QPE/LPO Recommendations bridge,1,0
Lokalise - Style Profile (Reference),1,0
Offer Selection,1,0
Checkout success page,1,0
Style Profile_Past exploration 2,1,0
"ARCHIVES — Payments for Order Bundling — Design Playground, 07.2023",1,0
In-App Message (IAM),1,0
SDD review updates - Gerrit / Patrycja,1,0
TDE - Specs,1,0
Mix&Match - Explorations - Foundational experience + upselling,1,0
Archive,1,0
Propositions Steering from Checkout Success Page (M1 & M2),1,0
Personal Shopping Benefit x Plus,1,0
SCM1 legal response,1,0
