num_instances,team_name,workspace_name,file_name
1,Fulfillment - CuCa,05. Fulfillment,Chatbot M2 - Returns & Refunds
1,<Drafts>,,File not visible
1,Collabary,04. Zalando Partner,Usability testing feedback
1,6_Zeos,06. ZEOS,File not visible
1,<Drafts>,,File not visible
1,3_D&I,02. DXC,Accessibility Specs Onboarding
1,3_BD_Identity,02. DXC,Corporate Website_Type Styling_Expoloration_240807
1,<Drafts>,,File not visible
1,Fulfillment – WMS,05. Fulfillment,DG - Compliant Storage
1,3_BD_Identity,02. DXC,Brand Refresh_Collected examples_2025 (EH)
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,Partner Communications,04. Zalando Partner,Mixing worlds - illustrations
1,<Drafts>,,File not visible
1,Lounge by Zalando - Brand & Creative - Design Team,03. Lounge,File not visible
1,Partner Tech - Tech & Data Foundation,04. Zalando Partner,Retail Centre in ZDDS
1,<Drafts>,,File not visible
1,Partner Tech - Articles,04. Zalando Partner,00 Article Future Glimpses (Kim WIP)
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,6_Zeos,06. ZEOS,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,Partner Tech_z - Zalando Direct (reference),04. Zalando Partner,[Exploration] Dashboards
1,<Drafts>,,File not visible
1,Team not visible,,File not visible
1,3_The Studio,02. DXC,[ ARCHIVED ] Ways of Figma - Fashion Store Customer Journey (WIP)
1,Fulfillment – WMS,05. Fulfillment,Quality Sort App
1,2. Activate,03. Lounge,Upcoming Campaigns - Floating Module
1,<Drafts>,,File not visible
1,Fulfillment – WMS,05. Fulfillment,CC Supplier Inbound
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,Fulfillment – WMS,05. Fulfillment,Putwall Multisort
1,5. Convert,03. Lounge,Highlighted Savings Crazy 8
1,Partner Tech_z - Retail Operations (reference),04. Zalando Partner,Delivery Tracking - Release 2
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,Partner Tech_z - Connected Retail (reference),04. Zalando Partner,High RR / Archive
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,Partner Tech_z - Connected Retail (reference),04. Zalando Partner,2023 Vision Workshop
1,<Drafts>,,File not visible
1,1_Payments Solutions (ZPS),02. DXC,"GoPay — Design Playground, 01.2022"
1,Partner Tech_z - Zalando Direct (reference),04. Zalando Partner,DRAFT_Ideations Sales Performance
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,Partner Communications,04. Zalando Partner,MOMAD Design Assets
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,<Drafts>,,File not visible
1,Partner Tech,04. Zalando Partner,Audit - Toggle button
